RSCID,Discord ID,Name,Franchise,Team,Tier,SBV,GP
RSC004239,305826641337384970,Nitrocd,Electric Mayhem,Shock,Challenger,75.73,47
RSC005691,275683127093886977,Dr. Ukulele,Storm,Squalls,Challenger,74.90,55
RSC003919,479777469398777886,Yaboijeans,Cheese Guild,Havarti Hustlers,Challenger,74.23,29
RSC005246,56213226060263424,Irishhhh,The Garden,Strawberries,Challenger,71.82,48
RSC004872,264954506897391617,Justlaben,The Forest,Griffins,Challenger,71.19,54
RSC003697,161949083118993409,Deaththekid331,The Jungle,Toucans,Challenger,71.09,36
RSC005212,272157698877816833,Crackdragon,Seas Despair,Phantoms Deep,Challenger,70.44,60
RSC004967,361296997128339460,Lee-Lo,The Nexus,Arcturus,Challenger,70.15,50
RSC001995,265690328873304072,Tvveedle,,,Challenger,69.18,4
RSC005539,789659409269653515,Sthenoz.Era,Cheese Guild,Havarti Hustlers,Challenger,68.94,56
RSC000922,477567448904892427,Derk,The Garden,Strawberries,Challenger,68.71,52
RSC005238,456610982106497034,Iamhoba,The Gods,Shinigami,Challenger,68.52,60
RSC005294,671242371631022083,Mogulmaniac5480,The Cosmos,Nebulae,Challenger,66.74,52
RSC005367,511034620360523786,Fryer_Lee,Whale Defense,Belugas,Challenger,66.61,49
RSC005237,106301370939740160,Then000Bster,The Cosmos,Nebulae,Challenger,66.21,46
RSC003193,734834180097310813,Shiftdrink,Eight Legged Freaks,Tarantulas,Challenger,65.79,33
RSC004255,217058789059198976,Avgjohnson,Storm,Squalls,Challenger,65.76,34
RSC005079,256935434561650688,Blu3Prints,Fifty-Fifty Pizzeria,Breadsticks,Challenger,65.40,60
RSC004539,594982258176426054,Dumplingsaregod,Shark Attack,Threshers,Challenger,65.35,53
RSC000346,217846691909468161,Beeb,The Garden,Strawberries,Challenger,65.11,44
RSC004018,581924546161147905,Yourboiblue,The Cosmos,Nebulae,Challenger,64.36,43
RSC004850,297532880094232577,Onepopshop88,The Monster Mash,Zombies,Challenger,64.25,60
RSC005314,360998926712569858,Daggumbigfoot,The Forest,Griffins,Challenger,63.78,34
RSC004896,424654369657716766,Phoenixark_7,,,Challenger,63.71,8
RSC005729,196350509454589952,Cherry,Puppy Paradise,Bulldogs,Challenger,63.03,42
RSC002834,430525824932904961,Clockwork7678,The Elements,Metal,Challenger,61.90,30
RSC004628,217013015394910209,Chromium_Fire,Whale Defense,Belugas,Challenger,61.75,48
RSC005491,694547643182874695,Jackowanou,The Gods,Shinigami,Challenger,61.33,38
RSC005816,499109194671063041,Fg_Xploit,,,Challenger,61.09,4
RSC002262,327954516978958337,Crypt1Cgames,The Wavelengths,Visible Light,Challenger,60.70,49
RSC005498,155031167282708480,Discoverablematt,The Swarm,Killer Bees,Challenger,60.61,38
RSC005678,548192557889224754,Itzpxrsonal,Italian Battalion,Penne Patrol,Challenger,60.11,42
RSC005300,949851615203057674,Renjisw,The Forest,Griffins,Challenger,59.29,42
RSC005628,451816869821939723,I Love Sand,The Nexus,Arcturus,Challenger,58.37,40
RSC004763,560277480385282074,Smba-,Italian Battalion,Penne Patrol,Challenger,58.32,46
RSC005263,296792684138332160,Donyvan,The Forest,Griffins,Challenger,58.25,47
RSC005167,590337957370789899,Cooper.,The Wavelengths,Visible Light,Challenger,58.22,47
RSC002988,536998807427350539,Pwapp,The Jungle,Toucans,Challenger,57.97,60
RSC002809,258707005332520970,Wannabuybubbles,The Serpents,Kraits,Challenger,57.88,54
RSC002616,530802597305516033,Ruthle,The Jungle,Toucans,Challenger,57.34,47
RSC005489,307922325045510145,Mabracadabra,The Garden,Strawberries,Challenger,56.98,21
RSC005316,263299967504875520,Modoz,The Bakery,Puffin Pastries,Challenger,56.90,52
RSC004713,783309158367756298,Trynot2Cry91,The Serpents,,Challenger,56.81,43
RSC003382,141651604100087809,Whymer,Dungeons And Double Taps,Wizards,Challenger,55.21,39
RSC004597,448125564390342673,Xxblindbeastxx,Destined,Deceased,Challenger,55.20,14
RSC000534,279478381395836930,Blood12Aven,Fifty-Fifty Pizzeria,Breadsticks,Challenger,54.69,41
RSC005655,478239137355399168,D_Rowzz_Ttv,The Wavelengths,Visible Light,Challenger,54.30,32
RSC005265,498623167171002397,Doctorprofessor_,Destined,Deceased,Challenger,54.24,54
RSC004655,599807385577717760,Garretbax,Seas Despair,Phantoms Deep,Challenger,53.97,43
RSC005256,900969039155838996,Viiiccc,The Bakery,Puffin Pastries,Challenger,53.34,41
RSC002461,208716175658450945,Mimzy Dangerous,The Nexus,Arcturus,Challenger,53.18,42
RSC004059,699809271386210404,Turboalpaca,The Sovereign,Spartans,Challenger,51.50,54
RSC005671,233022446763114497,Fetiv,Cheese Guild,Havarti Hustlers,Challenger,51.36,57
RSC001031,836603931583840376,Ab26Panther,Eight Legged Freaks,Tarantulas,Challenger,51.18,56
RSC004997,761083519702532126,Seiiko,The Bear Den,Panda Bears,Challenger,50.74,21
RSC000054,124319097713328130,Blindvisionary,The Elements,Metal,Challenger,50.65,51
RSC005485,530487595814223912,Exlie.,,,Challenger,50.30,19
RSC004614,258468279193042945,Bad_Example,Italian Battalion,Penne Patrol,Challenger,49.64,47
RSC002956,194934007064952843,Ofodo,The Elements,Metal,Challenger,49.38,40
RSC005718,268533671621820427,Baked Carrots,The Monster Mash,Zombies,Challenger,49.11,56
RSC005633,599724425155313695,Ishioe,Metal,Steel,Challenger,48.94,54
RSC001933,605301213574987778,Ducky,Dungeons And Double Taps,Wizards,Challenger,48.74,51
RSC004073,262719967789711361,Butt.Quakes,Fifty-Fifty Pizzeria,Breadsticks,Challenger,48.51,11
RSC004376,165849457273995264,Missionaryjackk,Metal,Steel,Challenger,47.97,49
RSC004620,162395797000945664,Kyn,The Swarm,Killer Bees,Challenger,47.91,51
RSC000221,179637016026152960,Treefrog,The Gods,Shinigami,Challenger,47.83,43
RSC005106,295587042182561792,Xkilk,The Monster Mash,Zombies,Challenger,47.33,17
RSC001817,439550263896965121,Young Dylon,Whale Defense,Belugas,Challenger,46.10,39
RSC004166,190159830068101120,Markoyo,Metal,Steel,Challenger,45.17,51
RSC003978,293908028351315968,Thenio,Eight Legged Freaks,Tarantulas,Challenger,45.07,54
RSC002182,496449494603399198,Breadmg,,,Challenger,44.61,25
RSC000347,217874027543265280,Chris.,Pantheon,Tyr,Challenger,44.36,41
RSC004933,399676999783809025,Enric0 Palazz0,The Swarm,Killer Bees,Challenger,44.12,53
RSC004845,756300451821125653,Binboiz,Italian Battalion,Penne Patrol,Challenger,44.02,55
RSC000938,490699929417941012,Nukem,,,Challenger,43.12,15
RSC004888,266014770698780672,Agentanime07,,,Challenger,42.88,15
RSC004163,284500884485046272,Perryxpotter,Fifty-Fifty Pizzeria,Breadsticks,Challenger,42.81,60
RSC005331,415600789633892353,Villet,,,Challenger,42.05,24
RSC002494,407325285252464641,Rpi Lone Wolf,Snack Syndicate,Apple Associates,Challenger,42.00,28
RSC004817,195613766954516481,Crybound,Energy,Chemical,Challenger,41.78,26
RSC002414,349765009825595394,Xxdarksidexx,The Abyss,Isopods,Challenger,41.58,46
RSC003498,339046592936017920,Merioch,The Sovereign,Spartans,Challenger,40.94,48
RSC004670,525395505027743765,Carnagewolfbite,Metal,Steel,Challenger,40.72,58
RSC002328,355184559874244609,Trudsky,Shark Attack,Threshers,Challenger,40.63,58
RSC005590,118169037040517126,Grab,,,Challenger,40.51,36
RSC001942,221055746635333633,Dendro,The Swarm,Killer Bees,Challenger,40.46,20
RSC004279,367559129247514634,Onlyjammer,Puppy Paradise,Bulldogs,Challenger,39.62,58
RSC004844,568430798357659659,Calicat01,Electric Mayhem,Shock,Challenger,39.42,60
RSC004724,330748842280747009,Kevin :D,Shark Attack,Threshers,Challenger,39.37,32
RSC004222,682987576067620938,Atma-,The Sovereign,Spartans,Challenger,39.28,57
RSC005165,935208642813239356,Sedecim.,The Bakery,Puffin Pastries,Challenger,39.11,30
RSC003803,448954451370442774,(Xp),The Serpents,Kraits,Challenger,38.85,58
RSC001147,400424234138206210,Blxxr,Minty Fresh,Smooth Mint,Challenger,38.82,51
RSC001045,572605432921849877,Progmoney1100,The Jungle,,Challenger,38.81,4
RSC002840,117153306949844997,Jandr,,,Challenger,37.93,2
RSC004424,189199825604968448,Bigboy,,,Challenger,37.62,8
RSC005493,233400724988493824,Nj111_,The Jungle,Toucans,Challenger,37.57,25
RSC003207,446492099710418955,Lordhadron,Destined,Deceased,Challenger,37.48,49
RSC000432,245731511981178881,Jonrezz,Dungeons And Double Taps,Wizards,Challenger,36.65,39
RSC005098,381154614789144586,Itsjustcrimm,Seas Despair,Phantoms Deep,Challenger,35.98,54
RSC003916,732477615750905919,G Robber22,Minty Fresh,Smooth Mint,Challenger,35.88,44
RSC004388,164212516635934721,Bobbo174,The Bear Den,Panda Bears,Challenger,35.87,48
